Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,pre_type,post_type,pre_side,post_side
720575940621072065,720575940632489743,47136,108712,6,-1,-6,R7,aMe12,right,right
720575940621087570,720575940625459464,47230,71564,1,-1,-1,R7,aMe12,right,right
720575940621087570,720575940647731252,47230,136042,2,-1,-2,R7,aMe12,right,right
720575940621179329,720575940647731252,47761,136042,3,-1,-3,R7,aMe12,right,right
720575940621287104,720575940647731252,48337,136042,1,-1,-1,R8,aMe12,right,right
720575940621306644,720575940647731252,48441,136042,1,-1,-1,R7,aMe12,right,right
720575940621306644,720575940640836952,48441,130075,3,-1,-3,R7,aMe12,right,right
720575940621436911,720575940640836952,49232,130075,1,1,1,R7,aMe12,right,right
720575940621459905,720575940625459464,49366,71564,1,-1,-1,R7,aMe12,right,right
720575940621545819,720575940632489743,49813,108712,1,-1,-1,R7,aMe12,right,right
720575940621557743,720575940632489743,49894,108712,1,-1,-1,R7,aMe12,right,right
720575940621566630,720575940632489743,49938,108712,1,-1,-1,R7,aMe12,right,right
720575940621581421,720575940625459464,50035,71564,1,-1,-1,R7,aMe12,right,right
720575940621585286,720575940609627403,50060,7753,2,-1,-2,R7,aMe12,left,left
720575940621610678,720575940625459464,50242,71564,1,-1,-1,R7,aMe12,right,right
720575940621623917,720575940622446106,50328,55108,2,-1,-2,R7,aMe12,left,left
720575940621668120,720575940647731252,50603,136042,1,1,1,R7,aMe12,right,right
720575940621685595,720575940609627403,50708,7753,1,1,1,R7,aMe12,left,left
720575940621705198,720575940609627403,50829,7753,1,1,1,R7,aMe12,left,left
720575940621706587,720575940622446106,50839,55108,1,1,1,R7,aMe12,left,left
720575940621748929,720575940632489743,51065,108712,1,-1,-1,R8,aMe12,right,right
720575940621750125,720575940609627403,51076,7753,2,1,2,R8,aMe12,left,left
720575940621905505,720575940609627403,51994,7753,1,1,1,R8,aMe12,left,left
720575940621955649,720575940625459464,52254,71564,1,1,1,R7,aMe12,right,right
720575940622010689,720575940640836952,52520,130075,1,-1,-1,R7,aMe12,right,right
720575940622101174,720575940640715392,53067,129836,2,1,2,R8,aMe12,left,left
720575940622105697,720575940647731252,53101,136042,1,1,1,R8,aMe12,right,right
720575940622106790,720575940647731252,53112,136042,1,-1,-1,R7,aMe12,right,right
720575940622112182,720575940640715392,53154,129836,1,-1,-1,R7,aMe12,left,left
720575940622112182,720575940622446106,53154,55108,2,-1,-2,R7,aMe12,left,left
720575940622176628,720575940632489743,53531,108712,3,1,3,R7,aMe12,right,right
720575940622239664,720575940625459464,53933,71564,1,1,1,R7,aMe12,right,right
720575940622258870,720575940647731252,54032,136042,1,-1,-1,R7,aMe12,right,right
720575940622269424,720575940609627403,54093,7753,4,1,4,R8,aMe12,left,left
720575940622306486,720575940647731252,54314,136042,1,1,1,R7,aMe12,right,right
720575940622370800,720575940625459464,54730,71564,1,-1,-1,R7,aMe12,right,right
720575940622454817,720575940640836952,55158,130075,1,1,1,R8,aMe12,right,right
720575940622575877,720575940647731252,55775,136042,1,1,1,R7,aMe12,right,right
720575940622596084,720575940609627403,55881,7753,1,-1,-1,R7,aMe12,left,left
720575940622673392,720575940640836952,56318,130075,1,1,1,R7,aMe12,right,right
720575940622689524,720575940622446106,56419,55108,1,1,1,R7,aMe12,left,left
720575940622747380,720575940640715392,56781,129836,1,1,1,R8,aMe12,left,left
720575940622819617,720575940647731252,57159,136042,1,1,1,R7,aMe12,right,right
720575940622890828,720575940640715392,57501,129836,3,-1,-3,R7,aMe12,left,left
720575940622897178,720575940625459464,57544,71564,1,1,1,R7,aMe12,right,right
720575940622900257,720575940632489743,57570,108712,2,1,2,R8,aMe12,right,right
720575940622951962,720575940622446106,57873,55108,1,1,1,R7,aMe12,left,left
720575940623072801,720575940640715392,58599,129836,1,1,1,R8,aMe12,left,left
720575940623100961,720575940640715392,58763,129836,1,1,1,R8,aMe12,left,left
720575940623152417,720575940622446106,59110,55108,3,1,3,R8,aMe12,left,left
720575940623246204,720575940622446106,59644,55108,1,-1,-1,R7,aMe12,left,left
720575940623271901,720575940609627403,59782,7753,1,1,1,R7,aMe12,left,left
720575940623296477,720575940640836952,59919,130075,1,1,1,R7,aMe12,right,right
720575940623356952,720575940609627403,60283,7753,3,-1,-3,R8,aMe12,left,left
720575940623506909,720575940640836952,61173,130075,1,1,1,R8,aMe12,right,right
720575940623576029,720575940647731252,61548,136042,1,1,1,R8,aMe12,right,right
720575940623710249,720575940625459464,62201,71564,12,-1,-12,R8,aMe12,right,right
720575940623790797,720575940640715392,62602,129836,2,-1,-2,R7,aMe12,left,left
720575940623790797,720575940609627403,62602,7753,2,-1,-2,R7,aMe12,left,left
720575940623829091,720575940609627403,62792,7753,1,1,1,R7,aMe12,left,left
720575940623834760,720575940632489743,62826,108712,1,1,1,R7,aMe12,right,right
720575940623851363,720575940640715392,62898,129836,1,-1,-1,R7,aMe12,left,left
720575940623869197,720575940640715392,62999,129836,1,1,1,R7,aMe12,left,left
720575940623883561,720575940625459464,63095,71564,3,-1,-3,R7,aMe12,right,right
720575940623894057,720575940625459464,63161,71564,2,1,2,R7,aMe12,right,right
720575940624020521,720575940632489743,63926,108712,2,-1,-2,R8,aMe12,right,right
720575940624033535,720575940640836952,64006,130075,1,-1,-1,R7,aMe12,right,right
720575940624089855,720575940640715392,64311,129836,1,1,1,R7,aMe12,left,left
720575940624101631,720575940622446106,64390,55108,8,1,8,R8,aMe12,left,left
720575940624153226,720575940632489743,64700,108712,1,1,1,R8,aMe12,right,right
720575940624153226,720575940640836952,64700,130075,2,1,2,R8,aMe12,right,right
720575940624153599,720575940640715392,64702,129836,6,1,6,R8,aMe12,left,left
720575940624191368,720575940609627403,64951,7753,4,1,4,R7,aMe12,left,left
720575940624191379,720575940632489743,64952,108712,1,1,1,R7,aMe12,right,right
720575940624244420,720575940625459464,65250,71564,3,-1,-3,R8,aMe12,right,right
720575940624286698,720575940632489743,65504,108712,3,-1,-3,R8,aMe12,right,right
720575940624327818,720575940622446106,65765,55108,1,1,1,R7,aMe12,left,left
720575940624346820,720575940609627403,65882,7753,2,-1,-2,R7,aMe12,left,left
720575940624349674,720575940647731252,65907,136042,2,-1,-2,R7,aMe12,right,right
720575940624389316,720575940609627403,66143,7753,11,1,11,R7,aMe12,left,left
720575940624397862,720575940622446106,66187,55108,1,1,1,R7,aMe12,left,left
720575940624399594,720575940640836952,66195,130075,3,1,3,R7,aMe12,right,right
720575940624408042,720575940609627403,66248,7753,1,1,1,R8,aMe12,left,left
720575940624481544,720575940609627403,66596,7753,1,-1,-1,R7,aMe12,left,left
720575940624609461,720575940625459464,67232,71564,1,-1,-1,R7,aMe12,right,right
720575940624684725,720575940609627403,67570,7753,5,1,5,R8,aMe12,left,left
720575940624684727,720575940632489743,67571,108712,1,1,1,R8,aMe12,right,right
720575940624717565,720575940632489743,67756,108712,2,1,2,R8,aMe12,right,right
720575940624851719,720575940609627403,68426,7753,2,1,2,R8,aMe12,left,left
720575940624854967,720575940609627403,68449,7753,3,1,3,R8,aMe12,left,left
720575940624854967,720575940622446106,68449,55108,2,1,2,R8,aMe12,left,left
720575940624882439,720575940640715392,68615,129836,1,1,1,R8,aMe12,left,left
720575940624919625,720575940609627403,68842,7753,1,-1,-1,R7,aMe12,left,left
720575940624946183,720575940632489743,69002,108712,3,-1,-3,R7,aMe12,right,right
720575940624978173,720575940609627403,69176,7753,1,1,1,R8,aMe12,left,left
720575940625025533,720575940640715392,69473,129836,1,1,1,R8,aMe12,left,left
720575940625272980,720575940640836952,70650,130075,1,-1,-1,R7,aMe12,right,right
720575940625306604,720575940609627403,70811,7753,1,1,1,R7,aMe12,left,left
720575940625385451,720575940622446106,71193,55108,1,-1,-1,R8,aMe12,left,left
720575940625397140,720575940609627403,71258,7753,3,-1,-3,R7,aMe12,left,left
720575940625418475,720575940609627403,71355,7753,1,-1,-1,R8,aMe12,left,left
720575940625419272,720575940625459464,71359,71564,1,1,1,R8,aMe12,right,right
720575940625550311,720575940625459464,72013,71564,1,1,1,R8,aMe12,right,right
720575940625555943,720575940632489743,72037,108712,1,1,1,R7,aMe12,right,right
720575940625561587,720575940609627403,72061,7753,3,1,3,R8,aMe12,left,left
720575940625602023,720575940647731252,72242,136042,1,-1,-1,R7,aMe12,right,right
720575940625625788,720575940640715392,72346,129836,1,1,1,R7,aMe12,left,left
720575940625675412,720575940640836952,72612,130075,1,1,1,R7,aMe12,right,right
720575940625675960,720575940609627403,72616,7753,1,-1,-1,R7,aMe12,left,left
720575940625750164,720575940625459464,73007,71564,1,-1,-1,R7,aMe12,right,right
720575940625859367,720575940625459464,73580,71564,2,1,2,R7,aMe12,right,right
720575940625865656,720575940640715392,73619,129836,1,1,1,R7,aMe12,left,left
720575940625891768,720575940622446106,73754,55108,1,1,1,R7,aMe12,left,left
720575940625911736,720575940622446106,73871,55108,2,1,2,R8,aMe12,left,left
720575940625969336,720575940632489743,74173,108712,2,1,2,R8,aMe12,right,right
