Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,pre_type,post_type,pre_side,post_side
720575940640923381,720575940624117245,130245,64506,6,1,6,KCg-d,MBON01,left,right
720575940642021064,720575940643309197,131233,132236,2,1,2,KCg-d,MBON01,right,left
720575940643195159,720575940624117245,132152,64506,2,1,2,KCg-d,MBON01,left,right
720575940643466094,720575940624117245,132331,64506,6,1,6,KCg-d,MBON01,left,right
720575940643741384,720575940624117245,132517,64506,3,1,3,KCg-d,MBON01,left,right
720575940643823816,720575940624117245,132603,64506,8,1,8,KCg-d,MBON01,left,right
720575940644710964,720575940643309197,133450,132236,2,1,2,KCg-d,MBON01,right,left
720575940645209966,720575940624117245,134053,64506,3,1,3,KCg-d,MBON01,left,right
720575940645949316,720575940624117245,134785,64506,1,1,1,KCg-d,MBON01,left,right
720575940646289955,720575940624117245,135059,64506,4,1,4,KCg-d,MBON01,left,right
720575940647973497,720575940624117245,136185,64506,1,1,1,KCg-d,MBON01,left,right
720575940650545398,720575940624117245,136846,64506,4,1,4,KCg-d,MBON01,left,right
720575940650726390,720575940624117245,136897,64506,2,1,2,KCg-d,MBON01,left,right
720575940654675873,720575940624117245,137666,64506,3,1,3,KCg-d,MBON01,left,right
